"N","a","t","phi","phidot","H","w_phi"
-3.07,0.04642115485743127,0.012069645716058541,0.00006568505159988783,0.010860769515219734,54.9359970893857,-0.999956101675245
-3.06,0.046887695219988486,0.012253050081017963,0.00006769204677016457,0.011025287471927788,54.11673740759702,-0.9999547616061651
-3.05,0.04735892439114093,0.01243923113706862,0.00006976030582274218,0.011192292165745356,53.30971842046177,-0.999953380672056
-3.04,0.04783488949419837,0.012628230408830703,0.00007189165783389835,0.011361820716433118,52.51475696251661,-0.9999519576312684
-3.03,0.04831563812606779,0.012820090579714082,0.00007408803546285683,0.011533911274746044,51.73167262028753,-0.9999504912004535
-3.02,0.04880121836201296,0.013014855235604554,0.00007635145451794096,0.011708602794046646,50.960287690735896,-0.9999489800551787
-3.01,0.04929167876046217,0.013212567989081662,0.00007868393335631103,0.011885934251425295,50.200427140338434,-0.999947422835558
-3,0.049787068367863944,0.013413273092613556,0.0000810875496550774,0.012065945193000893,49.45191856478983,-0.9999458181405753
-2.99,0.050287436723591865,0.013617016233703962,0.00008356451863578276,0.012248676440363215,48.714592149319095,-0.9999441645204783
-2.98,0.0507928338648985,0.013823843294974438,0.00008611707488490728,0.01243416898842851,47.98828062961224,-0.9999424604853085
-2.97,0.05130331033191911,0.014033800363642284,0.0000887474725795326,0.012622464013965008,47.27281925332913,-0.9999407045038647
-2.96,0.05181891717272583,0.014246935035570129,0.00009145811622223609,0.01281360403378726,46.56804574220525,-0.9999388949916692
-2.95,0.05233970594843238,0.014463295580838647,0.00009425147966226024,0.013007632163251492,45.87380025473233,-0.9999370303163155
-2.94,0.05286572873835037,0.014682930300131654,0.00009713003974508588,0.013204591544906575,45.18992534940702,-0.9999351088017402
-2.93,0.053397038145197084,0.014905888542746418,0.00010009638193392634,0.013404526252092618,44.516265948537296,-0.9999331287182436
-2.92,0.05393368730035602,0.015132221007230702,0.00010315323581274952,0.013607481555101358,43.85266930260022,-0.9999310882781381
-2.91,0.05447572986918986,0.015361978480901007,0.00010630334085784769,0.013813502802907787,43.1989849551436,-0.9999289856453499
-2.9,0.05502322005640723,0.015595212200008193,0.00010954948464195933,0.014022635742728044,42.55506470821995,-0.9999268189309916
-2.89,0.05557621261148306,0.015831975163634597,0.00011289465064526524,0.014234927684368173,41.92076258834494,-0.9999245861796539
