"N","a","t","H_A","rho_f","P_obs_f","w_f","m_eff","sigma","kF_over_m"
-5.52620422318571,0.0039810717055349725,0.00033436730484502104,1875.3902884720233,2369995.7489447263,-1594.544809152969,-0.0006728049237484761,11033.064110793144,214.66376528377197,0.0010576545059940083
-5.493310150428652,0.004114202978752842,0.00035236227266411476,1782.1298624496383,2147434.7736494145,-1517.8325422270707,-0.0007068119417883976,11033.439939050162,194.4919404069551,0.0010233950599003914
-5.460416077671594,0.0042517863033828904,0.00037129844851720124,1693.592726533318,1945780.6924030238,-1444.8051576933149,-0.0007425323744522266,11033.834776195015,176.21564953791824,0.0009902436377611675
-5.427522004914536,0.004393970560760791,0.00039122406658100435,1609.5335434685283,1763069.2343325617,-1375.2865143089577,-0.0007800524718642683,11034.2495836716,159.65677054530988,0.000958164375711194
-5.394627932157478,0.004540909610972476,0.0004121898051480905,1529.7201538301433,1597520.6938021847,-1309.1087594664248,-0.0008194627866451456,11034.685371552343,144.65391931623745,0.0009271225702580977
-5.36173385940042,0.004692762459348838,0.00043424890981363495,1453.9328388059412,1447522.58768643,-1246.1119591820761,-0.0008608583864475182,11035.143200997778,131.0608768966196,0.000897084640732216
-5.328839786643363,0.004849693428528198,0.0004574573228373567,1381.963626078169,1311613.942295251,-1186.1437414954707,-0.0009043390766491744,11035.624186840503,118.74516443190963,0.0008680180929516421
-5.295945713886305,0.005011872336272723,0.0004818738189868058,1313.6156361776495,1188471.0568146931,-1129.058953301269,-0.0009500096336610342,11036.129500299849,107.58675201952674,0.0008398914840630608
-5.263051641129247,0.005179474679231211,0.0005075601481830355,1248.702466850048,1076894.604517151,-1074.7193305335884,-0.0009979800493247547,11036.66037183384,97.47688888943179,0.0008126743885203308
-5.2301575683721895,0.005352681822847105,0.0005345811852852265,1187.0476131284627,975797.9460330232,-1022.9931815405617,-0.0010483657868920555,11037.218094135409,88.31704351174967,0.0007863373651640013
-5.197263495615132,0.0055316811976172265,0.0005630050873670768,1128.4839209511736,884196.5407882987,-973.7550834217786,-0.0011012880490955492,11037.804025280158,80.01794330168838,0.0007608519253661432
-5.164369422858074,0.005716666501913616,0.0005929034588547627,1072.853072298789,801198.3534152567,-926.8855910504028,-0.0011568740588387143,11038.419592033315,72.49870456268097,0.0007361905022060288
-5.131475350101016,0.005907837911587945,0.0006243515249140385,1020.0050999517584,725995.161640419,-882.2709584626979,-0.0012152573530506273,11039.066293323975,65.68604418813949,0.0007123264206433051
-5.098581277343959,0.006105402296585329,0.0006574283134926056,969.7979300878648,657854.6809396069,-839.8028722684695,-0.0012765780902690973,11039.745703895045,59.51356543903052,0.0006892338686563922
-5.065687204586901,0.006309573444801933,0.0006922168464432812,922.0969510503427,596113.4292100843,-799.37819671486,-0.0013409833725338545,11040.459478137804,53.921110836426564,0.0006668878693148778
-5.032793131829843,0.006520572293428614,0.0007288043401737565,876.7746067212275,540170.2619218917,-760.8987300216068,-0.0014086275821893212,11041.20935412041,48.8541758622916,0.000645264253755692
-4.999899059072785,0.0067386271680309456,0.0007672824162898945,833.7100130318455,489480.514744869,-724.2709715970891,-0.0014796727342141483,11041.997157820171,44.263377754398036,0.0006243396350338238
-4.967004986315727,0.006963974029624319,0.0008077473227215995,792.7885962334536,443550.6965682371,-689.4058997402495,-0.0015542888447120035,11042.82480756986,40.103974218221325,0.0006040913828192886
-4.934110913558669,0.007196856730011521,0.0008503001658433424,753.9017516363268,401933.6811936346,-656.2187594329363,-0.001632654316214913,11043.694318728933,36.335427365151254,0.0005844975989129708
