"N","a","t","H_A","rho_f","P_obs_f","w_f","m_eff","sigma","kF_over_m"
-18.51936296222354,9.060305822453377e-9,4.256491315652997e-15,1.17467737552885e+14,1.3171635874959702e+26,4.3905091492926015e+25,0.33333058937950893,12182.181219597021,8.900465355413786e+16,492.90061819300854
-18.48646888946648,9.363292088239415e-9,4.545934319932329e-15,1.099884827364044e+14,1.1547739564577328e+26,3.849212680433506e+25,0.33333040279510284,12182.181219597021,8.333751975934267e+16,476.9508735623238
-18.453574816709423,9.676410537094534e-9,4.855059548046285e-15,1.0298543770595216e+14,1.0124049347787978e+26,3.37465142958153e+25,0.33333020352363885,12182.181219597021,7.803121762425427e+16,461.51724586149135
-18.420680743952367,1e-8,5.185205397052964e-15,9.642828181692597e+13,8.875882306366882e+25,2.958597766657708e+25,0.33332999070249447,12182.181219597021,7.30627727116174e+16,446.5830340904984
-18.387786671195308,1.033441063880556e-8,5.537801275309588e-15,9.02886249638553e+13,7.781598619317471e+25,2.5938384267318062e+25,0.3333297634104023,12182.181219597021,6.8410673384773704e+16,432.1320776760947
-18.35489259843825,1.0680004325145758e-8,5.914373791250879e-15,8.453988466145719e+13,6.822226386732015e+25,2.2740494513470198e+25,0.33332952066346416,12182.181219597021,6.405477766999025e+16,418.1487389841517
-18.32199852568119,1.1037155032027573e-8,6.316553363003973e-15,7.915717095203814e+13,5.981132708219431e+25,1.993686548031324e+25,0.33332926141089414,12182.181219597021,5.997622604893754e+16,404.61788639790376
-18.289104452924136,1.1406249238513208e-8,6.746081277456573e-15,7.411717864093239e+13,5.243735313285332e+25,1.7478889671239794e+25,0.3333289845304726,12182.181219597021,5.615735980373927e+16,391.5248779437596
-18.256210380167076,1.1787686347935873e-8,7.204817229341042e-15,6.939808639339498e+13,4.597249744111134e+25,1.5323952293996158e+25,0.33332868882369154,12182.181219597021,5.258164456105749e+16,378.85554544696464
-18.22331630741002,1.2181879120101156e-8,7.694747372975289e-15,6.497946225607498e+13,4.030467707561993e+25,1.3434692434332807e+25,0.33332837301056994,12182.181219597021,4.923359870418619e+16,366.59617919997066
-18.19042223465296,1.2589254117941673e-8,8.217992921520907e-15,6.0842175194011164e+13,3.5335627536439503e+25,1.1778355317800399e+25,0.333328035724117,12182.181219597021,4.609872634320371e+16,354.73351312691926
-18.157528161895904,1.3010252169108314e-8,8.77681933098949e-15,5.696831226013682e+13,3.0979199113977594e+25,1.0326224429650722e+25,0.33332767550441944,12182.181219597021,4.3163454552968456e+16,343.2547104281884
-18.124634089138844,1.3445328842997609e-8,9.373646108759698e-15,5.334110103866742e+13,2.71598632857437e+25,9.053123647326943e+24,0.33332729079232726,12182.181219597021,4.041507460722114e+16,332.14734968946556
-18.091740016381788,1.3894954943731377e-8,1.0011057289071492e-14,4.994483702657903e+13,2.381140325586122e+25,7.936980753857696e+24,0.3333268799227107,12182.181219597021,3.78416869543582e+16,321.3994114403168
-18.05884594362473,1.4359617019622146e-8,1.0691812620851596e-14,4.6764815638765055e+13,2.0875765934816938e+25,6.958444764649444e+24,0.33332644111725923,12182.181219597021,3.5432149696641256e+16,310.9992651477063
-18.025951870867672,1.4839817889675652e-8,1.1418859516308307e-14,4.378726854247836e+13,1.8302055455867786e+25,6.100550433151306e+24,0.33332597247679197,12182.181219597021,3.3176030349776104e+16,300.93565663039226
-17.993057798110613,1.5336077187700116e-8,1.2195345812027445e-14,4.09993040454095e+13,1.604565077838954e+25,5.348424118821361e+24,0.3333254719730457,12182.181219597021,3.106356067399742e+16,291.19769588057903
-17.960163725353556,1.5848931924611136e-8,1.3024633397819025e-14,3.838885127930301e+13,1.4067432079785715e+25,4.689025917934695e+24,0.3333249374399056,12182.181219597021,2.908559438109408e+16,281.7748452796485
