x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
2.680000000000000e1,-6.966852804836599e-1,6.182295666629668e-1,1.911038985481399e-1,5.889610145567347e-2,2.500000000038133e-1,1.322077970924664e-1,5.288311883617991e-1,3.119179050296820e-1,1.525335413532503e-11
2.685000000000000e1,-6.653695744675038e-1,6.340354680799143e-1,2.010004873916580e-1,4.899951261277874e-2,2.500000000044368e-1,1.520009747788793e-1,6.080038991047267e-1,3.123955579881617e-1,1.774713709323805e-11
2.690000000000000e1,-6.333168114189800e-1,6.477370857915544e-1,2.097816661548678e-1,4.021833385026532e-2,2.500000000051331e-1,1.695633323046024e-1,6.782533292044837e-1,3.130103034457201e-1,2.053224257281272e-11
2.695000000000000e1,-6.006283348440142e-1,6.594908131820469e-1,2.174640663357588e-1,3.253593366971291e-2,2.500000000054717e-1,1.849281326660459e-1,7.397125306479936e-1,3.137449465375207e-1,2.188671466285541e-11
2.700000000000000e1,-5.673974662631793e-1,6.694604957159632e-1,2.240886776621316e-1,2.591132234368366e-2,2.500000000058153e-1,1.981773553184480e-1,7.927094212553525e-1,3.145828465919913e-1,2.326117076734135e-11
2.705000000000000e1,-5.337092256373346e-1,6.778137722756934e-1,2.297157549433028e-1,2.028424506274610e-2,2.500000000060489e-1,2.094315098805567e-1,8.377260395019575e-1,3.155082345472347e-1,2.419553446486589e-11
2.710000000000000e1,-4.996402250536984e-1,6.847188085022484e-1,2.344199233583694e-1,1.558007664768671e-2,2.500000000060560e-1,2.188398467106827e-1,8.753593868215258e-1,3.165064531424645e-1,2.422417821890122e-11
2.715000000000000e1,-4.652587154910542e-1,6.903414418683367e-1,2.382856531804270e-1,1.171434682544381e-2,2.500000000058709e-1,2.265713063549832e-1,9.062852253986503e-1,3.175641250632151e-1,2.348343741687131e-11
2.720000000000000e1,-4.306247659947065e-1,6.948427388586977e-1,2.414032158723282e-1,8.596784133574044e-3,2.500000000059023e-1,2.328064317387542e-1,9.312257269330313e-1,3.186692562233303e-1,2.360911466325888e-11
2.725000000000000e1,-3.957905549760261e-1,6.983769491927930e-1,2.438651815819165e-1,6.134818423956346e-3,2.500000000058729e-1,2.377303631579601e-1,9.509214526095021e-1,3.198112825234182e-1,2.349143102264861e-11
2.730000000000000e1,-3.608007544115729e-1,7.010898304377999e-1,2.457634751716515e-1,4.236524833533889e-3,2.500000000051854e-1,2.415269503381176e-1,9.661078013324319e-1,3.209810688685603e-1,2.074163063525702e-11
2.735000000000000e1,-3.256929892626031e-1,7.031173083230403e-1,2.471869746317187e-1,2.813025373590090e-3,2.500000000053088e-1,2.443739492581286e-1,9.774957970117572e-1,3.221708691067751e-1,2.123501374740044e-11
2.740000000000000e1,-2.904983563023923e-1,7.045844331622872e-1,2.482196117273108e-1,1.780388278256507e-3,2.500000000055673e-1,2.464392234490543e-1,9.857568937742651e-1,3.233742550124069e-1,2.226929751714124e-11
2.745000000000000e1,-2.552419885910316e-1,7.056045905888239e-1,2.489389191300109e-1,1.061080875085515e-3,2.500000000050964e-1,2.478778382549253e-1,9.915113529994890e-1,3.245860216214678e-1,2.038547108895727e-11
2.750000000000000e1,-2.199436539304588e-1,7.062789247125342e-1,2.494149597465468e-1,5.850402575084276e-4,2.500000000040552e-1,2.488299194890383e-1,9.953196779400084e-1,3.258020752466466e-1,1.622080247898339e-11
