family,key,value,m_today_eV,m0_over_m_today,omega_qp0,U_today,a_nr,m_ratio_min_matter,w0_DE,wa_DE,fit_from_a,poles,crossings,phantom_late,crosses_late,w0_f,wa_f,w_f_min,cs2_min,vac_ratio_late,gap_residual_max,xcheck_worst,conservation,criterion
"quadratic, gq",gq,-0.15,1000,1.15,0.265,0.68566471,0.46927408,2.1277106e-13,-0.50320263,-4.6606975,0.55394699,3.13e-08 0.528,4.16e-08,True,False,-0.54411283,-0.66810606,-0.99999983,-12.794949,1.5466096e+20,1.1929913e-16,3.8209835e-10,1.4583302e-08,nan
"quadratic, gq",gq,-0.05,1000,1.05,0.265,0.68566471,0.33452387,5.8280767e-13,-0.63140742,-2.7153241,0.47131746,3.13e-08 0.449,4.16e-08,True,False,-0.50513324,-0.31870863,-0.99999966,-6.5392036,7.3131762e+19,1.2464605e-16,8.4501384e-10,1.24151e-07,nan
"expdamp, xt",xt,0.1,1000,1.2279677,0.265,0.68566471,0.42929937,2.7752746e-13,-0.40156745,-5.671398,0.55833966,3.13e-08 0.532,4.16e-08,True,False,-0.55881102,-0.62510146,-0.99999975,-43.908604,1.4067904e+20,1.7163328e-16,2.2120084e-12,1.7876412e-08,nan
"expdamp, xt",xt,0.2,1000,1.5267534,0.265,0.68566471,0.54037079,1.3876373e-13,-0.18790921,-8.9161685,0.60873097,3.13e-08 0.58,4.16e-08,True,False,-0.66832406,-0.55743818,-0.99999987,-9.0299018,2.1219571e+20,1.6447143e-16,4.6891313e-10,2.3470019e-08,nan
"expdamp, xt",xt,0.3,1000,1.9283697,0.265,0.68566471,0.61914786,9.2509155e-14,-0.43904587,-8.0630986,0.63579576,3.13e-08 0.606,4.16e-08,True,False,-0.74451905,-0.45529406,-0.99999991,-11.376265,2.5137138e+20,1.0995393e-16,1.688194e-09,1.9347553e-09,nan
"expdamp, xt",xt,0.4,1000,2.4863745,0.265,0.68566471,0.67935675,6.9381866e-14,-0.20487972,-11.429343,0.65070041,3.13e-08 0.62,4.16e-08,True,False,-0.7978181,-0.37125071,-0.99999993,-11.8705,2.7458865e+20,1.5383919e-16,2.0609747e-09,2.3918881e-08,nan
"expdamp, xt",xt,0.5,1000,3.2974425,0.265,0.68566471,0.7321299,5.5505493e-14,-0.68277813,-7.5552124,0.66170989,3.13e-08 0.63,4.16e-08,True,False,-0.83830124,-0.30277483,-0.99999995,-14.432954,2.9266365e+20,1.545595e-16,1.5592635e-09,3.9364039e-08,nan
"expdamp, xt",xt,0.6,1000,4.555297,0.265,0.68566471,0.77757294,4.6254577e-14,-0.68517494,-8.3470325,0.66937511,3.13e-08 0.638,4.16e-08,True,False,-0.8696436,-0.24737169,-0.99999996,-10.793883,3.0741395e+20,1.4099307e-16,2.0061134e-09,4.0952249e-09,nan
"expdamp, xt",xt,0.7,1000,6.712509,0.265,0.68566471,0.81980726,3.9646781e-14,-0.69593612,-8.9698988,0.67511131,3.13e-08 0.643,4.16e-08,True,False,-0.8959576,-0.19957429,-0.99999997,-7.3674964,3.1978901e+20,1.2643417e-16,2.5931743e-09,4.4721718e-08,nan
"expdamp, xt",xt,0.8,1000,11.127705,0.265,0.68566471,0.85905945,3.4690933e-14,-0.71604888,-9.4619367,0.67964174,3.13e-08 0.647,4.16e-08,True,False,-0.92085394,-0.15316999,-0.99999997,-63.335565,3.2599063e+20,1.1126024e-16,8.70648e-10,1.1336377e-08,nan
"expdamp, xt",xt,0.9,1000,24.596031,0.265,0.68566471,0.89007315,3.0836385e-14,-0.69021979,-10.092481,0.6833751,3.13e-08 0.651,4.16e-08,True,False,-0.92589976,-0.14376508,-0.99999997,-9.9,3.3577025e+20,1.4158632e-16,1.8683002e-09,7.9051719e-08,nan
"power nu=0.3, Omega_qp0",omega_dm,0.265,1000,-0.10889172,0.265,0.68566471,0.30687344,7.6410836e-13,-0.48771219,-6.4264468,0.59296093,3.13e-08 0.565,4.16e-08,True,False,-0.65956842,-0.37753064,-0.99999905,-1200.4929,1.0702019e+20,1.6306816e-16,1.2388774e-09,3.4477579e-08,-0.042085155
"power nu=0.3, Omega_qp0",omega_dm,0.35,1000,0.26449219,0.35,0.60066471,1.7268652e-07,0.26449256,-0.48771219,-6.4264468,0.59296093,3.58e-08 0.565,4.75e-08,True,False,-0.68368398,0.46329021,-0.63183655,-0.51485547,7.3017357e+18,1.3835493e-16,1.7718155e-09,6.8647204e-12,0.15411637
"power nu=0.3, Omega_qp0",omega_dm,0.45,1000,0.52317646,0.45,0.50066471,9.4930239e-08,0.5231767,-0.48771219,-6.4264468,0.59296093,4.43e-08 0.565,5.84e-08 1,True,True,-0.56504972,0.57338652,-0.52664699,-0.33377648,5.6378528e+17,1.4673007e-16,6.1098993e-10,6.9248834e-12,0.47023368
"power nu=0.3, Omega_qp0",omega_dm,0.55,1000,0.68779373,0.55,0.40066471,7.7204856e-08,0.68779389,-0.48771219,-6.4264468,0.59296093,5.61e-08 0.565,7.33e-08 1,True,True,-0.43742126,0.51213387,-0.42145744,-0.21854439,5.1740136e+16,1.9373286e-16,1.0229295e-09,6.9625252e-12,0.94414741
"power nu=0.3, Omega_qp0",omega_dm,0.65,1000,0.80175953,0.65,0.30066471,7.0023249e-08,0.80175963,-0.48771219,-6.4264468,0.59296093,7.22e-08 0.565,9.42e-08 1,True,True,-0.3164468,0.40049321,-0.31626788,-0.13876833,4.3432401e+15,0,1.0573564e-10,6.8472538e-12,1.7333051
"power nu=0.3, Omega_qp0",omega_dm,0.8,1000,0.91928676,0.8,0.15066471,6.544768e-08,0.9192868,-0.48771219,-6.4264468,0.59296093,1.18e-07 0.565,1.53e-07 1,True,True,-0.15039951,0.20411046,-0.15848354,-0.056499267,3.7947469e+13,0,1.7289702e-09,6.8027299e-12,4.881232
"power nu=0.5, Omega_qp0",omega_dm,0.265,1000,-1.587414,0.265,0.68566471,0.66658559,7.3732235e-14,-0.2239482,-11.245479,0.65014292,3.13e-08 0.619,4.16e-08 1,True,True,-0.79750174,-0.37070433,-0.99999993,-7.1832546,2.7401498e+20,1.3888825e-16,1.9381022e-09,2.439815e-08,-0.61351373
"power nu=0.5, Omega_qp0",omega_dm,0.35,1000,-0.71618489,0.35,0.60066471,0.51487156,1.7484687e-13,-0.69659817,-6.5308024,0.66302179,3.43e-08 0.631,4.58e-08,True,False,-0.61370788,-0.64888652,-0.99999978,-11.36545,1.9584126e+20,1.1948496e-16,5.8786431e-10,1.2348666e-08,-0.4173122
"power nu=0.5, Omega_qp0",omega_dm,0.45,1000,-0.11258825,0.45,0.50066471,0.20085842,3.2332874e-12,-0.69659817,-6.5308024,0.66302179,3.74e-08 0.631,4.99e-08 1,True,True,-0.49312845,-0.22847572,-0.99999608,-45.102566,3.8540959e+19,1.4208815e-16,3.5954484e-10,1.6519612e-10,-0.10119489
"power nu=0.5, Omega_qp0",omega_dm,0.5,1000,0.098670575,0.5,0.45066471,5.2133587e-07,0.098699077,-0.69659817,-6.5308024,0.66302179,3.88e-08 0.631,5.18e-08 1,True,True,-0.48938484,0.1308681,-0.47405221,-0.45066471,8.8936875e+18,1.5856481e-16,2.5618608e-09,8.399317e-12,0.10947227
"power nu=0.5, Omega_qp0",omega_dm,0.55,1000,0.2715187,0.55,0.40066471,1.9557038e-07,0.27154174,-0.69659817,-6.5308024,0.66302179,4.16e-08 0.631,5.52e-08 1,True,True,-0.4457872,0.2608881,-0.42145744,-0.36424065,2.3490508e+18,2.2812864e-16,6.7542971e-10,6.797511e-12,0.37271884
