potential,A,n,w_classical,w_quantum,sigma_over_n,x_kF_over_m,n_roots,rho_over_A
lambda-mass,10000,2.279507057,-0.5058343961,-0.5058342691,0.9999997807,0.0008549605227,1,1.383852267
lambda-mass,10000,2.70682157,-0.4629487343,-0.4629485851,0.9999997541,0.0009053551112,1,1.512046671
lambda-mass,10000,3.214240109,-0.420604316,-0.4206041423,0.9999997243,0.0009587201463,1,1.664272299
lambda-mass,10000,3.81677891,-0.3793968697,-0.379396669,0.9999996908,0.001015230717,1,1.845034027
lambda-mass,10000,4.532269136,-0.3398584966,-0.3398582662,0.9999996533,0.001075072234,1,2.059681212
lambda-mass,10000,5.381884571,-0.30243259,-0.3024323272,0.9999996112,0.001138441034,1,2.314565999
lambda-mass,10000,6.390768215,-0.2674582959,-0.2674579976,0.999999564,0.00120554503,1,2.6172313
lambda-mass,10000,7.588776354,-0.2351650412,-0.235164704,0.9999995111,0.001276604388,1,2.976634019
lambda-mass,10000,9.011362111,-0.2056761545,-0.2056757746,0.9999994517,0.001351852252,1,3.403410116
lambda-mass,10000,10.70062462,-0.1790195535,-0.1790191267,0.9999993852,0.001431535507,1,3.91018936
lambda-mass,10000,12.70655489,-0.155142997,-0.1551425183,0.9999993106,0.001515915594,1,4.511969095
lambda-mass,10000,15.08851519,-0.1339314442,-0.1339309082,0.9999992269,0.00160526936,1,5.226558056
lambda-mass,10000,17.9169958,-0.1152244646,-0.1152238649,0.9999991331,0.001699889973,1,6.075103401
lambda-mass,10000,21.27570106,-0.0988322222,-0.09883155161,0.9999990279,0.001800087881,1,7.082716523
lambda-mass,10000,25.26402644,-0.08454915081,-0.08454840117,0.9999989099,0.00190619183,1,8.279216193
lambda-mass,10000,30,-0.07216494845,-0.07216411051,0.9999987776,0.002018549946,1,9.700011001
lambda-mass,100,0.001,-0.9995716122,-0.9995716031,0.9999873397,0.00649629515,1,0.7003000038
lambda-mass,100,0.001187459175,-0.9994913478,-0.9994913358,0.9999858033,0.006879211217,1,0.7003562428
lambda-mass,100,0.001410059293,-0.9993960538,-0.9993960378,0.9999840804,0.007284697797,1,0.7004230245
lambda-mass,100,0.001674387845,-0.9992829198,-0.9992828985,0.9999821484,0.007714085281,1,0.7005023253
lambda-mass,100,0.00198826721,-0.999148611,-0.9991485826,0.999979982,0.008168782478,1,0.7005964921
lambda-mass,100,0.002360986142,-0.9989891716,-0.9989891338,0.9999775527,0.008650281239,1,0.7007083117
lambda-mass,100,0.002803574657,-0.99879991,-0.9987998596,0.9999748286,0.009160161346,1,0.7008410936
lambda-mass,100,0.00332913045,-0.9985752626,-0.9985751956,0.9999717739,0.009700095705,1,0.7009987673
lambda-mass,100,0.003953206499,-0.9983086342,-0.9983085451,0.9999683485,0.01027185583,1,0.7011859995
lambda-mass,100,0.004694271329,-0.9979922088,-0.9979920901,0.9999645074,0.01087731764,1,0.7014083314
lambda-mass,100,0.005574255561,-0.9976167269,-0.997616569,0.9999602003,0.01151846765,1,0.7016723432
lambda-mass,100,0.006619200912,-0.9971712243,-0.9971710142,0.9999553705,0.01219740945,1,0.7019858489
lambda-mass,100,0.007860030856,-0.9966427246,-0.9966424451,0.9999499547,0.01291637063,1,0.7023581273
lambda-mass,100,0.009333465758,-0.99601588,-0.9960155082,0.9999438817,0.01367771009,1,0.7028001969
lambda-mass,100,0.01108310955,-0.9952725508,-0.9952720564,0.9999370718,0.01448392576,1,0.7033251421
lambda-mass,100,0.01316074013,-0.9943913175,-0.9943906601,0.9999294357,0.01533766282,1,0.7039485007
lambda-mass,100,0.01562784162,-0.9933469136,-0.9933460397,0.9999208731,0.01624172235,1,0.7046887235
lambda-mass,100,0.01855742392,-0.9921095723,-0.9921084109,0.9999112717,0.01719907054,1,0.7055677212
lambda-mass,100,0.02203618331,-0.9906442776,-0.9906427348,0.9999005053,0.01821284844,1,0.7066115128
lambda-mass,100,0.02616706806,-0.9889099116,-0.9889078629,0.9998884329,0.01928638223,1,0.7078509963
lambda-mass,100,0.03107232506,-0.9868582936,-0.9868555747,0.9998748959,0.02042319413,1,0.7093228639
lambda-mass,100,0.03689711749,-0.9844331097,-0.9844295036,0.9998597168,0.02162701399,1,0.7110706883
lambda-mass,100,0.04381382071,-0.9815687385,-0.9815639591,0.9998426966,0.02290179153,1,0.7131462142
lambda-mass,100,0.05202712341,-0.9781889889,-0.9781826598,0.999823612,0.02425170925,1,0.7156108907
lambda-mass,100,0.06178008506,-0.9742057789,-0.974197406,0.9998022127,0.0256811962,1,0.7185376922
lambda-mass,100,0.07336132885,-0.969517808,-0.9695067445,0.9997782184,0.02719494249,1,0.722013281
lambda-mass,100,0.08711358306,-0.9640092983,-0.9639946998,0.9997513145,0.02879791467,1,0.726140576
lambda-mass,100,0.1034438235,-0.9575489194,-0.9575296878,0.9997211486,0.03049537206,1,0.7310418036
lambda-mass,100,0.1228353174,-0.9499890542,-0.9499637672,0.9996873256,0.03229288398,1,0.7368621217
lambda-mass,100,0.1458619246,-0.9411656165,-0.9411324411,0.9996494025,0.03419634801,1,0.7437739254
lambda-mass,100,0.1732050808,-0.9308986929,-0.9308552803,0.9996068832,0.03621200936,1,0.7519819607
lambda-mass,100,0.2056739624,-0.9189943398,-0.9189377001,0.9995592114,0.03834648138,1,0.7617294006
lambda-mass,100,0.2442294337,-0.9052479199,-0.9051742766,0.9995057636,0.0406067672,1,0.7733050636
lambda-mass,100,0.290012482,-0.8894493893,-0.889354014,0.9994458415,0.04300028278,1,0.7870519903
lambda-mass,100,0.3443779827,-0.8713909223,-0.8712679552,0.9993786624,0.04553488116,1,0.8033776348
lambda-mass,100,0.4089347953,-0.8508771659,-0.8507194278,0.9993033494,0.0482188783,1,0.8227659749
lambda-mass,100,0.4855933748,-0.827738205,-0.8275370143,0.9992189205,0.05106108032,1,0.8457919044
lambda-mass,100,0.5766223084,-0.8018449834,-0.8015899925,0.9991242753,0.05407081243,1,0.8731383393
lambda-mass,100,0.6847154509,-0.773126447,-0.7728055184,0.9990181819,0.05725794946,1,0.905616551
