a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,w_cpl,Omega_phi_test,Omega_DE_cpl
7.886639979067495e-2,1.167967097083388e1,-2.540000000000000e0,2.682053632433243e-2,2.404196244617913e-3,1.787862195152636e-1,2.477598482327847e1,1.598225614428001e-2,9.952031493233308e0,9.968013749377588e0,-9.936049237089028e0,-9.967932917136519e-1,-1.413680160125595e0,5.412844127701006e-3,1.784282263310632e-4
7.965902028589801e-2,1.155350613666823e1,-2.530000000000000e0,2.722719810302408e-2,2.477448711670163e-3,1.814760153167396e-1,2.440678327648754e1,1.646677206762075e-2,9.950573578313659e0,9.967040350381279e0,-9.934106806246039e0,-9.966957549104354e-1,-1.413204587828461e0,5.577298286489105e-3,1.861619840517189e-4
8.045960674953247e-2,1.142859666357754e1,-2.520000000000000e0,2.764001138636964e-2,2.552927880366828e-3,1.842057290266652e-1,2.404309161166888e1,1.696587530312259e-2,9.949071569643385e0,9.966037444946508e0,-9.932105694340262e0,-9.965952615777646e-1,-1.412724235950281e0,5.746727940491477e-3,1.942280348695281e-4
8.126823924089170e-2,1.130493006051041e1,-2.510000000000000e0,2.805906908329503e-2,2.630701175514883e-3,1.869759292522652e-1,2.368482760516458e1,1.747999905987405e-2,9.947524145835484e0,9.965004144895358e0,-9.930044146775609e0,-9.964917226715196e-1,-1.412239056455465e0,5.921282385007260e-3,2.026404975021454e-4
8.208499862389880e-2,1.118249396070347e1,-2.500000000000000e0,2.848446550140182e-2,2.710838048127460e-3,1.897871915961794e-1,2.333191026569343e1,1.800958904698246e-2,9.945929946642464e0,9.963939535689446e0,-9.927920357595481e0,-9.963850465004379e-1,-1.411749000825661e0,6.101115318729662e-3,2.114140818334234e-4
8.290996657517266e-2,1.106127612044472e1,-2.490000000000000e0,2.891629636778797e-2,2.793410035405414e-3,1.926400986892381e-1,2.298425981588758e1,1.855510381149971e-2,9.944287571858302e0,9.962842675669801e0,-9.925732468046803e0,-9.962751386495720e-1,-1.411254020054896e0,6.286384968802761e-3,2.205641131811673e-4
8.374322559219592e-2,1.094126441784911e1,-2.480000000000000e0,2.935465885028698e-2,2.878490823157883e-3,1.955352402190662e-1,2.264179767410865e1,1.911701508376395e-2,9.942595580177869e0,9.961712595261632e0,-9.923478565094106e0,-9.961619019017159e-1,-1.410754064644682e0,6.477254219111069e-3,2.301065575336048e-4
8.458485900156473e-2,1.082244685164636e1,-2.470000000000000e0,2.979965157882458e-2,2.966156308978454e-3,1.984732129574198e-1,2.230444643653948e1,1.969580813082066e-2,9.940852488047645e0,9.960548296178466e0,-9.921156679916823e0,-9.960452361566525e-1,-1.410249084599061e0,6.673890741886736e-3,2.400580477916358e-4
8.543495096732123e-2,1.070481153998085e1,-2.460000000000000e0,3.025137466699208e-2,3.056484666679586e-3,2.014546207852560e-1,2.197212985954722e1,2.029198211786565e-2,9.939056768498137e0,9.959348750616003e0,-9.918764786380271e0,-9.959250383481929e-1,-1.409739029419607e0,6.876467132694037e-3,2.504359110552372e-4
8.629358649937049e-2,1.058834671922339e1,-2.450000000000000e0,3.070992973422017e-2,3.149556414297048e-3,2.044800747116932e-1,2.164477284231337e1,2.090605047704982e-2,9.937206849912409e0,9.958112900389459e0,-9.916300799435358e0,-9.958012023590870e-1,-1.409223848100378e0,7.085161048823540e-3,2.612581969937891e-4
8.716085146198126e-2,1.047304074279484e1,-2.440000000000000e0,3.117541992811136e-2,3.245454483160286e-3,2.075501928904789e-1,2.132230140972719e1,2.153854128443750e-2,9.935301114780966e0,9.956839656065403e0,-9.913762573496529e0,-9.956736189336308e-1,-1.408703489122811e0,7.300155351190743e-3,2.725437073414474e-4
8.803683258237259e-2,1.035888208000145e1,-2.430000000000000e0,3.164794994708010e-2,3.344264288877260e-3,2.106656006327235e-1,2.100464269553817e1,2.218999764497307e-2,9.933337898426601e0,9.955527896071574e0,-9.911147900781627e0,-9.955421755879506e-1,-1.408177900450577e0,7.521638249791588e-3,2.843120265601746e-4
8.892161745938634e-2,1.024585931488184e1,-2.420000000000000e0,3.212762606310894e-2,3.446073803046902e-3,2.138269304182119e-1,2.069172492576385e1,2.286097808603742e-2,9.931315487723197e0,9.954176465809233e0,-9.908454509637160e0,-9.954067565178174e-1,-1.407647029524368e0,7.749803452795157e-3,2.965835537144986e-4
8.981529457224763e-2,1.013396114506531e1,-2.410000000000000e0,3.261455614530114e-2,3.550973629990075e-3,2.170348218966024e-1,2.038347740234865e1,2.355205695784497e-2,9.929232119723819e0,9.952784176681664e0,-9.905680062765974e0,-9.952672425042582e-1,-1.407110823256651e0,7.984850319269182e-3,3.093795356036304e-4
9.071795328941247e-2,1.002317638064161e1,-2.400000000000000e0,3.310884968338391e-2,3.659057083315461e-3,2.202899218883240e-1,2.007983048707066e1,2.426382484278195e-2,9.927085980301598e0,9.951349805144380e0,-9.902822155458816e0,-9.951235108165449e-1,-1.406569228026353e0,8.226984015674413e-3,3.227221011981087e-4
9.162968387750488e-2,9.913493943041971e0,-2.390000000000000e0,3.361061781165812e-2,3.770420265382849e-3,2.235928843791989e-1,1.978071558569195e1,2.499688897250489e-2,9.924875202743115e0,9.949872091715619e0,-9.899878313770611e0,-9.949754351127152e-1,-1.406022189673497e0,8.476415676141099e-3,3.366342974298031e-4
9.255057751034329e-2,9.804902863931257e0,-2.380000000000000e0,3.411997333304382e-2,3.885162147410576e-3,2.269443705135868e-1,1.948606513234917e1,2.575187365390409e-2,9.922597866339668e0,9.948349739993573e0,-9.896845992685764e0,-9.948228853373784e-1,-1.405469653493794e0,8.733362566621486e-3,3.511401263857382e-4
9.348072627805847e-2,9.697392284111054e0,-2.370000000000000e0,3.463703074399994e-2,4.003384655447187e-3,2.303450485739889e-1,1.919581257418041e1,2.652942070127664e-2,9.920251994873411e0,9.946781415574687e0,-9.893722574172134e0,-9.946657276172297e-1,-1.404911564233165e0,8.998048252883147e-3,3.662645839579545e-4
9.442022319630231e-2,9.590951452433785e0,-2.360000000000000e0,3.516190625930854e-2,4.125192755592785e-3,2.337955939615925e-1,1.890989235618516e1,2.733018987792692e-2,9.917835555130374e0,9.945165745008302e0,-9.890505365252446e0,-9.945038241536306e-1,-1.404347866082219e0,9.270702772506903e-3,3.820337000033311e-4
9.536916221554965e-2,9.485569724727570e0,-2.350000000000000e0,3.569471783727150e-2,4.250694542034705e-3,2.372966891700692e-1,1.862823990631348e1,2.815485934553822e-2,9.915346455370297e0,9.943501314715835e0,-9.887191596024760e0,-9.943370331124973e-1,-1.403778502670670e0,9.551562810881788e-3,3.984745800691566e-4
9.632763823049303e-2,9.381236562731843e0,-2.340000000000000e0,3.623558520531480e-2,4.380001327942640e-3,2.408490237521262e-1,1.835079162078132e1,2.900412612117612e-2,9.912782543753142e0,9.941786669874318e0,-9.883778417631966e0,-9.941652085114511e-1,-1.403203417061704e0,9.840871881241558e-3,4.156154487420405e-4
9.729574708953276e-2,9.277941533043450e0,-2.330000000000000e0,3.678462988609531e-2,4.513227740027228e-3,2.444532942760712e-1,1.807748484960791e1,2.987870654121172e-2,9.910141606707176e0,9.940020313248388e0,-9.880262900165965e0,-9.939882001043020e-1,-1.402622551746280e0,1.013888050876872e-2,4.334856946797158e-4
9.827358560436150e-2,9.175674306073338e0,-2.320000000000000e0,3.734197522373040e-2,4.650491814094351e-3,2.481102042791331e-1,1.780825788237266e1,3.077933673371657e-2,9.907421367292368e0,9.938200704026086e0,-9.876642030558651e0,-9.938058532625029e-1,-1.402035848637383e0,1.044584641885841e-2,4.521159173871708e-4
9.926125155964570e-2,9.074424655013582e0,-2.310000000000000e0,3.790774641028666e-2,4.791915092484271e-3,2.518204642156271e-1,1.754304993418769e1,3.170677309888696e-2,9.904619483542326e0,9.936326256641214e0,-9.872912710443439e0,-9.936180088535850e-1,-1.401443249064213e0,1.076203472956631e-2,4.715379758005992e-4
