x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
7.525000000000000e1,9.890349669005486e-1,1.476815294349724e-1,1.090491706812631e-2,4.890950828759846e-1,4.999999999441109e-1,-4.781901658078583e-1,-9.563803317226190e-1,1.939408083313519e-3,-1.117781422976805e-10
7.530000000000000e1,9.951799308873711e-1,9.806581995237784e-2,4.808452521466094e-3,4.951915474204964e-1,4.999999999419625e-1,-4.903830948990303e-1,-9.807661899119030e-1,1.294977360272006e-3,-1.160750384698872e-10
7.534999999999999e1,9.988374633243584e-1,4.820499699054838e-2,1.161860867429389e-3,4.988381390701195e-1,4.999999999375489e-1,-4.976762782026902e-1,-9.953525565297021e-1,6.384714872919007e-4,-1.249021996940769e-10
7.540000000000001e1,9.999984222905486e-1,-1.776313357214926e-3,1.577644571510080e-6,4.999984222917931e-1,4.999999999363647e-1,-4.999968446472216e-1,-9.999936894217131e-1,-2.353885386408506e-5,-1.272706384725097e-10
7.545000000000000e1,9.986599059875072e-1,-5.175318384741832e-2,1.339196019172340e-3,4.986608039134884e-1,4.999999999326607e-1,-4.973216078943161e-1,-9.946432159225893e-1,-6.844367424116201e-4,-1.346786016043211e-10
7.550000000000000e1,9.948252600123213e-1,-1.016006983300543e-1,5.161350950577345e-3,4.948386489792914e-1,4.999999999298687e-1,-4.896772980287140e-1,-9.793545961947948e-1,-1.337625132687266e-3,-1.402625793289758e-10
7.555000000000000e1,9.885040689827912e-1,-1.511942639787765e-1,1.142985273004198e-2,4.885701471977674e-1,4.999999999278094e-1,-4.771402944677254e-1,-9.542805890732310e-1,-1.976592682324109e-3,-1.443811736834277e-10
7.559999999999999e1,9.797121325811730e-1,-2.004099227084681e-1,2.008206856000709e-2,4.799179313633749e-1,4.999999999233820e-1,-4.598358628033678e-1,-9.196717257476624e-1,-2.594978637832092e-3,-1.532359794609306e-10
7.565000000000001e1,9.684714260756775e-1,-2.491246610018156e-1,3.103154835963478e-2,4.689684515625282e-1,4.999999999221630e-1,-4.379369032028934e-1,-8.758738065421376e-1,-3.186636131227512e-3,-1.556740292230074e-10
7.570000000000000e1,9.548100453725642e-1,-2.972167173843214e-1,4.416888854635578e-2,4.558311113721791e-1,4.999999999185348e-1,-4.116622228258233e-1,-8.233244457857911e-1,-3.745693258065484e-3,-1.629303358896550e-10
7.575000000000000e1,9.387621368121610e-1,-3.445658867605939e-1,5.936282515955722e-2,4.406371747560673e-1,4.999999999156245e-1,-3.812743495965101e-1,-7.625486993217010e-1,-4.266611330207818e-3,-1.687510131631598e-10
7.580000000000000e1,9.203678118086820e-1,-3.910538208658834e-1,7.646154540690320e-2,4.235384545067508e-1,4.999999999136540e-1,-3.470769090998476e-1,-6.941538183195700e-1,-4.744239725650025e-3,-1.726920828559741e-10
7.584999999999999e1,8.996730465912396e-1,-4.365643240757054e-1,9.529420452783878e-2,4.047057953813814e-1,4.999999999092202e-1,-3.094115908535426e-1,-6.188231818194386e-1,-5.173866792455442e-3,-1.815596561982602e-10
7.590000000000001e1,8.767295673014524e-1,-4.809836438334740e-1,1.156726328176631e-1,3.843273670902959e-1,4.999999999079590e-1,-2.686547342726329e-1,-5.373094686441747e-1,-5.551266303943901e-3,-1.840820829102086e-10
7.595000000000000e1,8.515947206829513e-1,-5.242007549725045e-1,1.373932157568719e-1,3.626067841475369e-1,4.999999999044087e-1,-2.252135683906650e-1,-4.504271368674438e-1,-5.872739007335499e-3,-1.911825142641987e-10
7.600000000000000e1,8.243313307652068e-1,-5.661076372224815e-1,1.602389284608103e-1,3.397610714405684e-1,4.999999999013787e-1,-1.795221429797580e-1,-3.590442860303349e-1,-6.135148857625980e-3,-1.972425556218127e-10
7.605000000000000e1,7.950075418254100e-1,-6.065995452023614e-1,1.839815041198558e-1,3.160184957796405e-1,4.999999998994964e-1,-1.320369916597847e-1,-2.640739833726501e-1,-6.335953582046657e-3,-2.010072108760141e-10
7.609999999999999e1,7.636966480602879e-1,-6.455752702292796e-1,2.083837147658037e-1,2.916162851292596e-1,4.999999998950633e-1,-8.323257036345594e-2,-1.664651407618485e-1,-6.473229277503418e-3,-2.098733409283682e-10
7.615000000000001e1,7.304769104038810e-1,-6.829373932904137e-1,2.332017415771526e-1,2.667982583165998e-1,4.999999998937523e-1,-3.359651673944716e-2,-6.719303349317253e-2,-6.545688803340602e-3,-2.124953546456254e-10
7.620000000000000e1,6.954313608944545e-1,-7.185925285341138e-1,2.581876110325256e-1,2.418123888577565e-1,4.999999998902820e-1,1.637522217476911e-2,3.275044435672485e-2,-6.552693793999974e-3,-2.194359138840696e-10
7.625000000000000e1,6.586475951567540e-1,-7.524515566921811e-1,2.830916725842433e-1,2.169083273028876e-1,4.999999998871310e-1,6.618334528135569e-2,1.323666905925916e-1,-6.494260180053317e-3,-2.257380948833543e-10
7.630000000000000e1,6.202175534498106e-1,-7.844298478279645e-1,3.076650930817018e-1,1.923349068036343e-1,4.999999998853361e-1,1.153301862780675e-1,2.306603726090319e-1,-6.371057171022613e-3,-2.293277789888748e-10
