state,z,sigma,m,n
ground state,0.0287230951224,8.28887125786,0.917111287421,92.1844016858
ground state,0.0317117567993,9.13982388428,0.908601761157,96.0757124717
ground state,0.0350113911824,10.0491475588,0.899508524412,100.01006638
ground state,0.0386543552375,11.0144725868,0.889855274132,103.961445734
ground state,0.0426763726994,12.0316794675,0.879683205325,107.898317161
ground state,0.047116884387,13.0946022985,0.869053977015,111.783089397
ground state,0.0619878603945,16.1987896811,0.838012103189,121.884812528
ground state,0.0919575113809,20.5266235995,0.794733764005,132.564123833
ground state,0.121927162367,22.8339722785,0.771660277215,135.141339174
ground state,0.151896813354,23.7510944074,0.762489055926,133.039371966
ground state,0.18186646434,23.7627234347,0.762372765653,128.285927345
ground state,0.211836115326,23.210877283,0.76789122717,122.123508913
ground state,0.241805766313,22.3267698349,0.776732301651,115.31588885
ground state,0.271775417299,21.2625225867,0.787374774133,108.327634549
ground state,0.301745068285,20.1160951926,0.798839048074,101.435222589
ground state,0.331714719272,18.9492402526,0.810507597474,94.7970444664
ground state,0.361684370258,17.7998854095,0.822001145905,88.4977656912
ground state,0.391654021244,16.6904653392,0.833095346608,82.5764555463
ground state,0.421623672231,15.6334444194,0.843665555806,77.0444012789
ground state,0.451593323217,14.6349411391,0.853650588609,71.896358121
ground state,0.481562974203,13.6970899706,0.863029100294,67.117622714
ground state,0.51153262519,12.8195718704,0.871804281296,62.6884509586
ground state,0.541502276176,12.0006008867,0.879993991133,58.586789485
ground state,0.571471927162,11.2375565198,0.887624434802,54.789938321
ground state,0.601441578149,10.5273860925,0.894726139075,51.2755382264
ground state,0.631411229135,9.86685818401,0.90133141816,48.0221332984
ground state,0.661380880121,9.25271985211,0.907472801479,45.0094683454
ground state,0.691350531108,8.68179187198,0.91318208128,42.2186224122
ground state,0.721320182094,8.1510241874,0.918489758126,39.6320427682
ground state,0.75128983308,7.65752595297,0.92342474047,37.2335200092
ground state,0.781259484067,7.19857947421,0.928014205258,35.0081298445
ground state,0.811229135053,6.77164406395,0.932283559361,32.9421575228
ground state,0.841198786039,6.37435370156,0.936256462984,31.0230147378
ground state,0.871168437026,6.00451099915,0.939954890009,29.2391549675
ground state,0.901138088012,5.66007908289,0.943399209171,27.5799907524
ground state,0.931107738998,5.33917241658,0.946608275834,26.0358148713
ground state,0.961077389985,5.04004721757,0.949599527824,24.5977264127
ground state,0.991047040971,4.761091871,0.95238908129,23.2575621516
ground state,1.02101669196,4.50081759008,0.954991824099,22.0078332822
ground state,1.05098634294,4.25784946787,0.957421505321,20.8416673532
ground state,1.08095599393,4.03091800003,0.95969082,19.7527551346
ground state,1.11092564492,3.81885111571,0.961811488843,18.7353020926
ground state,1.1408952959,3.62056672719,0.963794332728,17.7839841249
ground state,1.17086494689,3.4350657916,0.965649342084,16.8939072117
ground state,1.20083459788,3.26142586845,0.967385741315,16.0605706487
ground state,1.23080424886,3.09879515005,0.9690120485,15.2798335472
ground state,1.26077389985,2.94638693931,0.970536130607,14.5478843109
ground state,1.29074355083,2.80347454767,0.971965254523,13.8612128182
ground state,1.32071320182,2.66938658564,0.973306134144,13.2165850655
ground state,1.35068285281,2.54350261919,0.974564973808,12.6110200458
ground state,1.38065250379,2.42524916583,0.975747508342,12.0417686591
ground state,1.41062215478,2.31409600562,0.976859039944,11.5062944681
ground state,1.44059180577,2.20955278365,0.977904472163,11.0022561326
ground state,1.47056145675,2.11116588181,0.978888341182,10.5274913688
ground state,1.50053110774,2.01851553929,0.979814844607,10.080002296
ground state,1.53050075873,1.93121320243,0.980687867976,9.65794204533
ground state,1.56047040971,1.84889908603,0.98151100914,9.25960251771
ground state,1.5904400607,1.77123992948,0.982287600705,8.88340318669
ground state,1.62040971168,1.69792693215,0.983020730679,8.52788085447
ground state,1.65037936267,1.62867385397,0.98371326146,8.1916802756
ground state,1.68034901366,1.56321526783,0.984367847322,7.87354557177
