x4,phi_mid,KE_mid,PE_mid,G0_mid,rho_mid,P_mid,w_mid,E_sheet,P_sheet,w_sheet,KE_frac,PE_frac,G0_frac,E_drift
2.600000000000000e0,-8.442537288182449e-1,3.999020642845424e-1,3.563821793117553e-1,1.270142175205322e-2,7.689856653483510e-1,3.081846322073392e-2,4.007677205110596e-2,2.055257743586404e-1,-5.319394550887856e-2,-2.588188545931746e-1,3.705905727034127e-1,5.246593752060457e-1,1.047500520905416e-1,-7.648244260138881e-10
2.700000000000000e0,-9.204169284930919e-1,6.557175174236696e-2,4.235836611283287e-1,2.006903813639534e-1,6.898457942346490e-1,-5.587022907499151e-1,-8.098944654287102e-1,2.055257743690107e-1,-1.050212040690225e-1,-5.109879984223413e-1,2.445060007888293e-1,5.846462058954509e-1,1.708477933157197e-1,-7.143671210130265e-10
2.800000000000000e0,-9.530473420852709e-1,9.847686264040707e-2,4.541496181278997e-1,7.125871888887275e-4,5.533390679571956e-1,-3.563853426763813e-1,-6.440632214748121e-1,2.055257743798625e-1,-8.676888634172478e-2,-4.221800725652754e-1,2.889099637173623e-1,6.344570216425095e-1,7.663301464012819e-2,-6.615666903186934e-10
2.900000000000000e0,-9.378125045912452e-1,5.163805979071005e-2,4.397461468838522e-1,4.320123058395331e-3,4.957043297329576e-1,-3.924282101515374e-1,-7.916578222404143e-1,2.055257743795098e-1,-1.174710644676676e-1,-5.715636631090053e-1,2.142181684454973e-1,6.738340805851120e-1,1.119477509693907e-1,-6.632829840924614e-10
3.000000000000000e0,-9.533176091657519e-1,7.501929200822259e-4,4.544072319727527e-1,2.232687062066956e-2,4.774842955135045e-1,-4.759839096733400e-1,-9.968577273550937e-1,2.055257743810104e-1,-1.612388851730569e-1,-7.845190495385119e-1,1.077404752307441e-1,7.008794631777954e-1,1.913800615914606e-1,-6.559816023710141e-10
3.100000000000000e0,-9.882673562786748e-1,1.193015436091693e-1,4.883361837430206e-1,8.626885064823309e-2,6.939065780004230e-1,-4.553034907820843e-1,-6.561452293680473e-1,2.055257743813595e-1,-1.342090780030917e-1,-6.530036361963173e-1,1.734981819018414e-1,7.132742713517639e-1,1.132275467463948e-1,-6.542829611433376e-10
3.200000000000000e0,-1.003389678620257e0,8.294616149182406e-2,5.033954235808312e-1,5.361046801016268e-1,1.122446265174282e0,-9.565539421906339e-1,-8.522046639284865e-1,2.055257743806560e-1,-1.841573840427922e-1,-8.960306053960549e-1,5.198469730197260e-2,7.127971518997007e-1,2.352181507983268e-1,-6.577058897505594e-10
3.300000000000000e0,-9.949816285280695e-1,3.610428807830559e-1,4.949942205541846e-1,1.584383875953676e-2,8.718809400967773e-1,-1.497951785306655e-1,-1.718069195480274e-1,2.055257743835029e-1,-1.293768224435169e-1,-6.294919594955761e-1,1.852540202522120e-1,6.968701832513035e-1,1.178757964964846e-1,-6.438539701392187e-10
3.400000000000000e0,-9.386273479938038e-1,1.478450727589068e-1,4.405106492009406e-1,4.800573907497685e-2,6.363614610348242e-1,-3.406713155170107e-1,-5.353424686702827e-1,2.055257743885195e-1,-1.105944739179882e-1,-5.381051318114677e-1,2.309474340942662e-1,6.681077892451437e-1,1.009447766605901e-1,-6.194458279651371e-10
3.500000000000000e0,-8.995199844164358e-1,3.658529937846161e-5,4.045681011822724e-1,1.558634791416367e-2,4.201910343958146e-1,-4.201178637970577e-1,-9.998258634935843e-1,2.055257743935362e-1,-1.038283976129136e-1,-5.051843152971427e-1,2.474078423514286e-1,6.270964948161880e-1,1.254956628323833e-1,-5.950364645457284e-10
3.600000000000000e0,-8.934496559221827e-1,7.089073988157280e-3,3.991261438337333e-1,1.315160801547284e-1,5.377312979766190e-1,-5.235531500003044e-1,-9.736333964013918e-1,2.055257743960575e-1,-6.797385004530226e-2,-3.307315116317897e-1,3.346342441841051e-1,5.745784350926267e-1,9.078732072326810e-2,-5.827691662574352e-10
3.700000000000000e0,-8.498970002061906e-1,2.956184850485284e-2,3.611624554797408e-1,4.924110106136093e-1,8.831353145982028e-1,-8.240116175884973e-1,-9.330525050551230e-1,2.055257743946088e-1,-1.067844199760258e-1,-5.195670484179763e-1,2.402164757910119e-1,5.146976782224368e-1,2.450858459865512e-1,-5.898177501961754e-10
3.800000000000000e0,-7.887573552767624e-1,5.606164921108596e-1,3.110690827515964e-1,1.890038885247400e-1,1.060689463387196e0,6.054352083452325e-2,5.707940252482958e-2,2.055257744095066e-1,-3.614919499805076e-2,-1.758864312853730e-1,4.120567843573135e-1,4.472059989498301e-1,1.407372166928564e-1,-5.173315109630039e-10
3.900000000000000e0,-6.961750208277645e-1,4.436585630370562e-1,2.423298298122692e-1,2.049633150352325e-3,6.880380259996777e-1,1.992791000744347e-1,2.896338465957520e-1,2.055257744247073e-1,-1.376604364461639e-2,-6.697964614486576e-2,4.665101769275671e-1,3.769613866637789e-1,1.565284364086540e-1,-4.433715616869449e-10
4.000000000000000e0,-6.208758662094506e-1,2.791690346849133e-1,1.927434206206678e-1,6.779771244893111e-2,5.397101677545122e-1,1.862790161531443e-2,3.451463901971057e-2,2.055257744399115e-1,1.488692699378553e-2,7.243338230620774e-2,5.362166911531039e-1,3.058337602952472e-1,1.579495485516489e-1,-3.693942929317018e-10
4.100000000000000e0,-5.799872445838440e-1,1.722449920926487e-1,1.681926019399798e-1,6.248879624803863e-3,3.466864736574324e-1,-2.196489472135052e-3,-6.335665331741340e-3,2.055257744508006e-1,8.932336884302877e-2,4.346090853165052e-1,7.173045426582526e-1,2.360984418274336e-1,4.659701551431391e-2,-3.164127848620524e-10
4.200000000000000e0,-5.129987300630943e-1,3.193650437935106e-2,1.315838485231737e-1,7.645703285394112e-2,2.399773857564659e-1,-1.761043769977638e-1,-7.338373840628393e-1,2.055257744502638e-1,6.840283467622583e-2,3.328187662067610e-1,6.664093831033805e-1,1.724901418201163e-1,1.611004750765031e-1,-3.190245845274831e-10
